time,precos_nacionais,precos_estaduais
2/2024,78.7004,73.558
1/2024,82.386,68.5326
12/2023,81.5941,63.869
11/2023,71.8661,55.4745
10/2023,46.6374,35.1097
9/2023,37.2462,31.4164
8/2023,44.9119,49.8695
7/2023,46.2043,47.7669
6/2023,44.0476,41.1747
5/2023,37.8412,37.3595
4/2023,35.2016,37.1262
3/2023,63.8911,59.5639
2/2023,68.0625,63.5
1/2023,72.5425,72.5
12/2022,96.8088,107.0431
11/2022,92.8086,88.1119
10/2022,72.7956,70.9169
9/2022,70.7853,69.3815
8/2022,60.7856,56.15
7/2022,44.6765,32.9761
6/2022,53.5931,57.5795
5/2022,52.7405,65.9392
4/2022,48.3863,35.0
3/2022,48.3863,35.0
2/2022,48.4226,35.0
1/2022,39.949,43.415
12/2021,36.0398,36.8328
11/2021,29.499,22.6922
10/2021,16.7566,14.3678
9/2021,19.2563,18.427
8/2021,21.0188,18.8115
7/2021,21.1093,17.4236
6/2021,27.9195,21.5543
5/2021,33.0208,34.6923
4/2021,42.0303,35.865
3/2021,41.9408,30.665
2/2021,41.9408,30.665
1/2021,39.6988,28.5266
12/2020,34.9741,23.6402
11/2020,29.1096,23.36
10/2020,27.4314,21.6104
9/2020,35.2285,26.0531
8/2020,38.499,35.4692
7/2020,62.9275,64.4163
6/2020,67.383,73.8038
5/2020,69.8071,83.23
3/2020,15.15,15.5
2/2020,16.0225,16.2912
1/2020,25.1849,15.2934
12/2019,25.7497,14.9447
11/2019,26.5904,19.7035
10/2019,34.7817,31.5539
9/2019,63.5265,57.5625
8/2019,65.5497,68.2889
7/2019,62.4327,62.2211
6/2019,38.3685,31.15
5/2019,42.44,33.2051
4/2019,38.25,38.9047
3/2019,33.0735,35.6666
2/2019,29.1728,35.5
1/2019,29.241,36.0
12/2018,28.9997,36.0
11/2018,21.3173,23.2386
10/2018,13.871,11.5923
9/2018,10.9095,9.95
8/2018,15.3362,14.6586
7/2018,19.9663,17.1782
6/2018,44.4553,39.7023
5/2018,47.0839,59.773
4/2018,14.3407,24.5445
3/2018,13.7614,15.625
2/2018,13.7295,15.625
1/2018,13.5588,15.625
12/2017,15.7728,18.6835
11/2017,19.0488,23.1393
10/2017,22.3697,22.7136
9/2017,21.3347,23.5714
8/2017,24.4158,26.6313
7/2017,27.6879,31.8571
6/2017,18.5212,19.4502
5/2017,15.5317,18.7282
4/2017,15.5309,18.71
3/2017,15.5141,18.71
2/2017,15.4813,18.71
1/2017,15.4234,18.71
12/2016,15.4302,20.5
11/2016,16.041,14.18
10/2016,13.1336,11.0269
9/2016,13.6903,14.4065
8/2016,14.854,12.7347
7/2016,19.5934,16.7028
6/2016,35.3327,27.6311
5/2016,55.8058,57.2009
4/2016,48.9324,48.9323
2/2016,30.649,33.44
1/2016,30.3537,33.44
12/2015,30.8994,27.9836
11/2015,32.8189,27.3333
10/2015,16.4178,16.869
9/2015,45.1837,41.3327
8/2015,67.3303,63.75
7/2015,78.7677,75.3152
6/2015,68.8428,70.6095
5/2015,45.0046,45.1666
4/2015,36.3473,38.5013
3/2015,24.2018,29.67
2/2015,24.1879,29.253
1/2015,23.7216,21.2343
12/2014,23.33,18.4613
11/2014,19.0373,17.647
10/2014,15.6952,16.3217
9/2014,19.6007,21.0
8/2014,19.403,21.0704
7/2014,18.111,17.33
6/2014,18.0709,18.0252
5/2014,12.3614,24.1472
4/2014,12.2986,21.6968
3/2014,12.0307,11.25
2/2014,12.0307,11.25
1/2014,12.0042,11.25
12/2013,11.7283,11.4018
11/2013,8.7107,9.6233
10/2013,9.9514,9.2239
9/2013,14.4905,14.0428
8/2013,18.4729,16.5227
7/2013,26.6168,24.1565
6/2013,34.9553,35.8665
5/2013,41.0756,41.4654
1/2013,18.6766,17.17
12/2012,18.4093,16.899
11/2012,17.9139,17.2404
10/2012,24.9126,25.1336
9/2012,27.0186,32.9673
8/2012,19.4376,21.9752
7/2012,19.5911,21.6645
6/2012,23.5955,20.588
5/2012,23.4254,23.4254
4/2012,19.6,19.6
1/2012,9.3359,17.25
12/2011,10.4842,17.25
11/2011,11.5399,14.6475
10/2011,13.829,14.115
9/2011,12.1215,12.199
8/2011,14.7371,14.0004
7/2011,17.3673,16.8104
6/2011,19.7853,22.6681
5/2011,21.6504,21.6504
4/2011,9.2909,22.75
7/2010,27.0823,24.9812
6/2010,27.5197,32.7166
5/2010,37.1919,37.1919
4/2010,32.754,32.754
3/2010,29.67,29.67
7/2009,14.3961,13.33
6/2009,13.71,15.08
5/2009,13.8555,13.8555
4/2009,14.05,14.05
